posted,season,week,title,views
2025-02-19,3,9,"📅 Recap: Season 3 Week 9, 2024-02-12",12
2025-02-20,3,10 -,"📅 Recap: Season 3 Week 10 - Feb 19, 2025",13
2025-03-19,4,1,"📅 Recap: Season 4 Week 1, 2025-03-19",11
2025-03-27,4,2,"📅 Recap: Season 4 Week 2, 2025-03-26",22
2025-04-02,4,3,"📅 Recap: Season 4 Week 3, April 02, 2025",9
2025-04-10,4,4 -,"📅 Recap: Season 4 Week 4 - Apr 09, 2025",10
2025-04-16,4,5 -,📅 Recap: Season 4 Week 5 - April 16,8
2025-04-23,4,6 -,"📅 Recap: Season 4 Week 6 - April 23, 2025",10
2025-04-30,4,7 -,📅 Recap: Season 4 Week 7 - April 30,5
2025-05-07,4,8 -,"📅 Recap: Season 4 Week 8 - May 07, 2025",3
2025-05-15,4,9 -,📅 Recap: Season 4 Week 9 - May 14,7
2025-05-22,4,10,"📅 Recap: Season 4 Week 10, May 21",10
2025-05-29,4,11,"📅 Recap: Season 4 Week 11, May 28, 2025",9
2025-06-19,5,2 -,"Recap: Season 5 Week 2 - June 18, 2025",3
2025-06-27,5,3 - 2025-06-25,📅 Recap: Season 5 Week 3 - 2025-06-25,4
2025-07-02,5,4 - 2025-07-02,📅 Recap: Season 5 Week 4 - 2025-07-02,8
2025-07-09,5,1 - 2025-06-11,📅 Recap: Season 5 Week 1 - 2025-06-11,5
2025-07-09,5,5 - 2025-07-09,📅 Recap: Season 5 Week 5 - 2025-07-09,6
2025-07-26,5,6 -,"📅 Recap: Season 5 Week 6 - Jul 16, 2025",2
2025-07-26,5,7 -,"📅 Recap: Season 5 Week 7 - Jul 23, 2025",2
2025-08-06,5,8 -,"📅 Recap: Season 5 Week 8 - Jul 30, 2025",3
2025-08-06,5,9 -,"📅 Recap: Season 5 Week 9 - Aug 06, 2025",8
2025-08-27,5,12 -,"📅 Recap: Season 5 Week 12 - Aug 27, 2025",8
2025-08-27,5,11 -,"📅 Recap: Season 5 Week 11 - Aug 20, 2025",7
2025-08-27,5,10 -,"📅 Recap: Season 5 Week 10 - Aug 13, 2025",11
2026-03-12,7,10 -,"Recap: Season 7 Week 10 - Mar 11, 2026",10
2026-03-24,7,11 -,"Recap: Season 7 Week 11 - Mar 18, 2026",3
2026-05-14,8,1 a,"📅 Recap: Season 8 Week 1 and 2 - May 6-13, 2026",4
