date,start_et,hours,type,title,location
2025-11-05,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W 3rd floor, Kitchener, ON N2G 1A7, Canada"
2025-11-12,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2025-11-19,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2025-11-26,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2025-12-03,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2025-12-10,19:00,3.0,Showcase,CivicTechWR Project Showcase | Season 6,"Builders Club, 165 King St W, Kitchener, ON N2G 1A7, Canada"
2025-12-17,19:00,2.0,Social,CTWR Holiday Party 🎄🎁🎊🎅,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-01-07,19:00,2.0,Pitch Night,Civic Tech WR - Project Pitches!!,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-01-14,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-01-21,19:00,2.0,Hackathon,CivicTechWR - Mini Hackathon!,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-01-28,18:30,2.5,Speaker,"CivicTechWR - Guest Speaker Rory White, Civic Searchlight","165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-02-04,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-02-11,19:00,2.0,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-02-18,18:30,2.5,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-02-25,18:30,2.5,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-03-04,18:30,2.5,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-03-11,17:30,2.5,Hacknight,Civic Tech WR,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-03-18,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-03-25,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-04-01,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-04-08,17:30,2.5,Speaker,CivicTechWR Hacknight - with Kristy Guthrie of MuniciPal AI,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-04-15,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-04-22,18:00,3.0,Showcase,CivicTechWR Project Showcase | Season 7,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-05-01,15:00,3.0,Partner event,Live in the Hive: Kitchener-Waterloo,"Builders Club, 165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-05-06,17:30,2.5,Pitch Night,CivicTechWR Pitch Night! with guest speaker Eric Lombardi,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-05-13,17:30,2.5,Pitch Night,CivicTechWR Pitch Night!,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-05-20,17:30,2.5,Hackathon,CivicTechWR Ideation Hackathon,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-05-27,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-06-03,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-06-10,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-06-17,17:30,2.5,Speaker,CivicTechWR - with Matthew Dufresne of CanadaGPT,"165 King St W 3rd floor, Kitchener, ON N2G 1A7, Canada"
2026-06-24,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-07-08,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-07-15,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-07-22,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-07-29,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-08-05,17:30,2.5,Hacknight,CivicTechWR Hacknight User Testing Edition!,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-08-12,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-08-19,17:30,2.5,Hacknight,CivicTechWR Hacknight,"165 King St W, Kitchener, ON N2G 1A7, Canada"
2026-08-26,18:00,3.0,Showcase,CivicTechWR Project Showcase | Season 8,"165 King St W, Kitchener, ON N2G 1A7, Canada"
